Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
10/12/2015,205.9255829,206.6731356,199.3492248,199.8909337,18592203
11/12/2015,206.4889374,207.7998811,204.3112683,206.2289241,18155513
14/12/2015,206.9548035,208.7749543,204.9829782,205.3296771,10563900
15/12/2015,211.4618378,211.9060416,206.6406134,207.3665128,15718833
16/12/2015,212.0577087,213.9861984,210.9417895,211.4618305,12097338
17/12/2015,218.7857361,219.9341714,211.9168641,212.3610679,19369032
18/12/2015,214.9288025,218.6340934,214.5171003,217.5073401,16016139
21/12/2015,214.9721069,216.4672267,213.2928111,214.0620315,12331769
22/12/2015,213.9320221,217.2472781,213.2169567,215.1237785,11579277
23/12/2015,217.5073242,218.1790397,214.5170846,214.907119,12919467
24/12/2015,216.8031006,218.244051,215.8822057,217.529,11901877
28/12/2015,218.9374237,219.6633086,216.683903,216.8139097,12885935
29/12/2015,220.0208588,220.7359098,218.2332095,218.9374411,14913870
30/12/2015,217.6589966,220.1508629,217.1172878,219.9341852,8151610
31/12/2015,219.8474884,220.9525882,216.4888968,217.42064,18483713
01/01/2016,220.010025,220.7792455,218.4607358,218.8074202,5416562
04/01/2016,215.6654968,219.6741506,213.8020104,217.7673287,30170947
05/01/2016,217.7998505,218.8507665,216.0338834,216.7489344,14946239
06/01/2016,223.6611328,225.0045781,216.7705785,218.3307015,26759864
07/01/2016,219.5550079,222.7510917,218.4282546,221.2451379,19739943
08/01/2016,222.2635345,223.8128238,220.3025431,221.0176086,21313199
11/01/2016,227.8648071,229.8583002,219.0674449,220.1400287,29016443
12/01/2016,226.5322418,230.8550791,225.5896646,228.6015724,23373377
13/01/2016,233.3361053,236.1313353,226.9114216,228.1898638,71802356
14/01/2016,230.0424805,234.235325,228.1790085,230.519186,27823189
15/01/2016,232.5668182,236.0770985,230.8983564,231.7975979,28767318
18/01/2016,220.3350067,234.8745005,218.4390334,232.9351771,27254669
19/01/2016,226.1313477,227.4747786,219.7391661,222.9677658,21489315
20/01/2016,217.6698151,224.2461721,214.5170674,224.2461721,45114225
21/01/2016,213.2603149,222.2635357,211.6351884,220.4867348,31768619
22/01/2016,217.5831604,219.0674463,215.3946573,215.3946573,23682648
25/01/2016,217.5398102,220.7467273,216.6839042,218.8507394,13099564
27/01/2016,216.5430756,218.8507513,216.0230345,218.4390636,17251028
28/01/2016,220.3458862,221.4076506,216.055551,216.9006231,23074633
29/01/2016,224.3545227,225.3512692,220.5842288,220.7900727,19177163
01/02/2016,223.2494507,225.7413171,222.2202024,225.3404488,9918809
02/02/2016,216.9331207,223.7911596,214.6254304,223.2494507,14771279
03/02/2016,212.653595,215.3838213,211.2668285,214.0837115,15691478
04/02/2016,210.8442688,216.9005845,209.2516442,214.0836874,18203784
05/02/2016,210.3784332,212.7836141,208.3199367,212.1552342,20998404
08/02/2016,208.2440643,213.3903047,207.5723345,210.4217332,12078110
09/02/2016,207.4748383,209.9233689,205.8497119,206.4780918,19603494
10/02/2016,208.5907745,210.8334615,205.5571993,206.2180954,16883350
11/02/2016,200.335144,209.305864,198.3741524,208.634134,17114833
12/02/2016,196.4348297,202.3611403,192.4370091,202.3611403,29319458
15/02/2016,205.1454926,206.1422391,198.915834,198.915834,19283523
16/02/2016,201.6352386,207.583202,200.8660037,206.0880822,13024856
17/02/2016,206.4131165,207.4640325,198.5691503,202.62114,15442221
18/02/2016,203.7045898,209.9017477,202.816182,208.6558072,14433087
19/02/2016,204.6254425,206.4455933,203.108655,203.6828799,10235503
22/02/2016,208.5149231,209.8150329,204.5712727,204.5712727,12770834
23/02/2016,205.7739105,209.5767065,204.2787906,208.6882988,18989787
